Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf121b	-0.5186802995577927	0
orf158	-0.5557300227175758	0
rps15	-0.5283960765540443	0
nad9	-0.5857158050975914	0
orf167	-0.5661176866054898	0
ccb452	-0.569032620668114	0
ycf2.1	-0.4744251008866421	0
rpoC2	-0.48770532961555063	0
rpoC1	-0.4595196082507006	0
psbM	-0.4816826647497677	0
At2g26630	-0.5483378934796169	0
At2g26440	-0.5025965150700338	0
At2g41550	-0.47939989958242507	0
At2g41560	-0.5138110929193169	0
At2g47430	-0.5506278854443284	0
At2g47550	-0.49261945365175597	0
At2g33080	-0.577927896837429	0
At2g33070	-0.508981592455677	0
At2g33240	-0.597497620293484	0
At2g33170	-0.5225487927114283	0
At1g67660	-0.5786469580929755	0
At1g67855	-0.5453235941784794	0
At1g59124	-0.4861670202455512	0
At3g29800	-0.5301603373757452	0
At4g25570	-0.5794284274043975	0
At4g16563	-0.5293403462946252	0
At4g14880	-0.5222021907925896	0
At4g16420	-0.5643023828010512	0
At4g17010	-0.5446575350856765	0
At4g14600	-0.5135088152921491	0
At4g16985	-0.4511352853854497	0
At4g16000	-0.5119845136954917	0
At4g17650	-0.5810311646406336	0
At4g17240	-0.5345845023459459	0
At4g17350	-0.4437299378872541	0
At4g17580	-0.4722326240925875	0
At4g17110	-0.48195220931124394	0
At4g16630	-0.5756276090719274	0
At4g16700	-0.525405566326398	0
At4g16920	-0.46886384829765115	0
At4g16950	-0.4660610161233625	0
At4g15660	-0.5136969574162876	0
At4g15730	-0.5677952147297812	0
At4g15230	-0.5699911340654727	0
At4g15260	-0.47923992012616845	0
At4g15350	-0.555857401371066	0
At4g15520	-0.45708303349861273	0.24919157118135332
At4g14380	-0.5393655172686965	0
At1g24938	-0.4891722857637625	0
At1g24793	-0.4799114699501609	0
At1g56720	-0.4965879233668382	0
At1g28250	-0.45777717429430403	0.22244157368099698
At1g28300	-0.5594577944037507	0
At5g04160	-0.6024657500936372	0
At5g04380	-0.4857252097796505	0
At1g73390	-0.5013657857299102	0
At1g73380	-0.4778289227689466	0
At1g32190	-0.46976622298482307	0
At1g26160	-0.5107436540001474	0
At1g57943	-0.5853891436974208	0
At1g26180	-0.4807104295692366	0
At5g13540	-0.5955311811853522	0
At5g19620	-0.5123123141919698	0
At5g09240	-0.5514055707365274	0
At5g13160	-0.4500428223368079	0
At5g32480	-0.5383317076065931	0
At5g28640	-0.44714305610555377	0
At5g28670	-0.5068647582117727	0
At5g20850	-0.4849663150064928	0
At5g19870	-0.49536067860545263	0
At5g20050	-0.6026901005028475	0
At4g36420	-0.5038571470435841	0
At4g36590	-0.5887932483198463	0
At4g36830	-0.5014412946075129	0
At4g36670	-0.5601162947510735	0
At4g36650	-0.43996309275840334	0
At4g37110	-0.5740258004009204	0
At4g36860	-0.5807132313227694	0
At3g56820	-0.5969137325330046	0
At3g56680	-0.5674844705783606	0
At3g44850	-0.5682888015266153	0
At3g44860	-0.5482664066260055	0
At3g56700	-0.5376612399245684	0
At3g56720	-0.4917033019326647	0
At3g56810	-0.4873374182231977	0
